Context,Questions,Decision,Answers_client,Answer_partner
BPM Platform-Developing Automated Processes – Intelligent Form and Solution Design,Perform database updates and other actions from within forms,Yes,Ultimus Process designer allows database updates from within the forms. Ultimus CPS allows to access the databases through database adapters at form level.,
BPM Platform-Developing Automated Processes – Intelligent Form and Solution Design,Data validation and masking in forms,Yes,Data validation & masking is out of the box feature.,
BPM Platform-Developing Automated Processes – Intelligent Form and Solution Design,Support required fields (including attachments),Yes,Business fields can be set a mandatory/optional as well s documents.,
BPM Platform-Developing Automated Processes – Intelligent Form and Solution Design,"Document handling (verify, review, commenting) should be part of the system",Yes,"Ultimus CPS document control allows to view, document, upload, commenting & review options.",
BPM Platform-Developing Automated Processes – Intelligent Form and Solution Design,Document viewer should be part of the system,Yes,Ultimus CPS document control allows to view the document in viewer.,
BPM Platform-Developing Automated Processes – Intelligent Form and Solution Design,Comments / annotations,Yes,Comments cane be linked to documents as well as with business fields.,
BPM Platform-Developing Automated Processes – Intelligent Form and Solution Design,High sophisticated rule and violation handling,Yes,Ultimus Process Designer & Ultimus CPS allows to define & manage complex rules & violations.,
BPM Platform-Developing Automated Processes – Intelligent Form and Solution Design,Ability to include geo information (Google) system interacting with solution (e.g. map location needs to be transferred to tool),Yes,Google Map control is out of the box feature in Ultimus CPS Forms.,
BPM Platform-Developing Automated Processes – Intelligent Form and Solution Design,Built-In context specific user feedback,Yes,Ultimus CPS allows to manage user feedback as out of box feature.,
BPM Platform-Developing Automated Processes – Automation Agents,XML Automation Agent,Yes,XML Flobot is out of the box feature.,
BPM Platform-Developing Automated Processes – Automation Agents,Web Services Automation Agent,Yes,WebService Flobot is out of the box feature.,
BPM Platform-Developing Automated Processes – Automation Agents,Database Automation Agent,Yes,Database Flobot is out of the box feature.,
BPM Platform-Developing Automated Processes – Automation Agents,Email Automation Agent,Yes,Email Flobot is out of the box feature.,
BPM Platform-Developing Automated Processes – Automation Agents,Microsoft Exchange Automation Agent,Yes,Microsoft Exchange Flobot is out of the box feature.,
BPM Platform-Developing Automated Processes – Automation Agents,Microsoft Word Automation Agent,Yes,Microsoft Word Flobot is out of the box feature.,
BPM Platform-Developing Automated Processes – Automation Agents,Microsoft Excel Automation Agent,Yes,Microsoft Excel Flobot is out of the box feature.,
BPM Platform-Developing Automated Processes – Automation Agents,Microsoft SharePoint Automation Agent,Yes,Microsoft Sharepoint Flobot is out of the box feature.,
BPM Platform-Developing Automated Processes – Automation Agents,.NET Code Automation Agent,Yes,.NET Code Flobot is out of the box feature.,
BPM Platform-Developing Automated Processes – Automation Agents,ASCII Automation Agent,Yes,ASCII Flobot is out of the box feature.,
BPM Platform-Developing Automated Processes – Automation Agents,File Automation Agent,Yes,File Flobot is out of the box feature.,
BPM Platform-Developing Automated Processes – Automation Agents,"Codeless, visual mapping of process data to all Automation Agents",Yes,Ultimus Process Designer provides codeless visual mapping of process data to all automation agents.,
BPM Platform-Developing Automated Processes – Automation Agents,Distributed Agent Platforms (for Integration Agents),Yes,Ultimus Flostation Server is a platform to process all Flobots/Agents.,
BPM Platform-Developing Automated Processes – Automation Agents,Group Agent Platforms for load balancing,Yes,Ultimus allows to create Flostation Groups for load balancing.,
BPM Platform-Developing Automated Processes – Automation Agents,Conditional Selection of single Agent platforms or groups,Yes,Ultimus Flostation can be selection based on condition.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Assign process owners,Yes,Process owners can be defined with graphical interface.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Support of anonymous process initiation,Yes,Anonymous process initiation is supported out of the box.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Assign absolute or relative time limits to tasks,Yes,Both absolute or relative time limits can be defined,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Control ability to resubmit steps,Yes,Ultimus Process Designer allows to control resubmit behavior of step.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Control ability to assign steps to other participants,Yes,Ultimus allows to assign steps to other recipients.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Declare steps “private” for security reasons,Yes,Steps can be declared as Private.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Parallel routing,Yes,Ultimus Process Designer allows to define parallel routing.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Dynamic Routing,Yes,Ultimus Process Designer allows to define dynamic routing.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Manage data in parallel routing configurations,Yes,Data is managed in parallel routing configuration.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Support of parallel group responses,Yes,Parallel group response is supported,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Conditional Activation of Steps,Yes,Steps can be activated based on condition.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Call web services based on process execution,Yes,Webservice can be called based on process execution.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Call .NET code based on process execution,Yes,Call of .NET code is supported based on process execution,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Dynamic creation of SharePoint team sites from within processes,Yes,Dynamic sharepoint website can be provided as part of solutions if required.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Conditionally abort steps or process incidents,Yes,Incident or Incident steps can be conditionally aborted.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Allow asynchronous step completion in processes,Yes,Ultimus supports asynchronous step completion in process.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Allow sub-processes to be executed synchronously (wait for completion),Yes,Ultimus supports both synchronous & asynchronous completion for sub processes.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Allow sub-processes to be executed asynchronously (don’t wait for completion),Yes,Ultimus supports both synchronous & asynchronous completion for sub processes.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Allow web services to be execute asynchronously,Yes,Ultimus allows web services execution asynchronously.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Generate special notifications during process flow,Yes,During process flow special notification can be triggered.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Form completion driven process initiation,Yes,From completion driven process initiation is supported.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Scheduled process initiation,Yes,Scheduled process initiation is supported. It can be specific day in week or specific day of month or hourly/daily/weekly etc.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,XML driven process initiation,Yes,Ultimus allows process initiation based on XML.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Web services driven process initiation,Yes,Ultimus allows process initiation based on WebService.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Email driven process initiation,Yes,Ultimus allows process initiation based on email.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,File driven process initiation,Yes,Ultimus allows process initiation based on file input.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Custom code driven process initiation,Yes,Ultimus allows process initiation based on custom code.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Complete steps and change process data via XML,Yes,Ultimus allows step completion & change in process data via XML.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Complete steps and change process data via Web Services,Yes,Ultimus allows step completion & change in process data via WebService.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Complete steps and change process data via custom code,Yes,Ultimus allows step completion & change in process data via Custom Code.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Subscribe to process events,Yes,Event Subscription is out of the box feature in Ultimus BPM.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Process rollback,Yes,Process can be rolled back & also upgraded.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Dynamically launch multiple sub-processes based on real-time data,Yes,Sub processes can be launched dynamically based on real time data & based on different conditions.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Dynamically launch multiple sub-processes based on real-time data,Yes,Sub processes can be launched dynamically based on real time data & based on different conditions.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Graphical view of organizational relationships,Yes,Organization Relationship can be defined with graphical view.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Link to Active Directory,Yes,"Ultimus allows to link multiple Active Directories, LDAP other custom organizations.",
BPM Platform-Developing Automated Processes – Process Flow & Execution,Link to LDAP directories,Yes,"Ultimus allows to link multiple Active Directories, LDAP other custom organizations.",
BPM Platform-Developing Automated Processes – Process Flow & Execution,Link to 3rd party directories,Yes,"Ultimus allows to link multiple Active Directories, LDAP other custom organizations.",
BPM Platform-Developing Automated Processes – Process Flow & Execution,Directory search,Yes,Ultimus allows to search in directories.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Intelligent directory browser,Yes,Ultimus provides intelligent directory browsing with graphical view.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Bi-directional updates of external directories,No,Ultimus allows to read external directories but also allows to use customized organization chart data source.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Drag and drop organization reorganization,Yes,Ultimus Organization Chart supports drag & drop feature.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Job function groups,Yes,Job Function Groups is out of the box feature in Ultimus BPM,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Allow mixed / cross-organizational groups,Yes,Ultimus OC allows to create based on mixed / cross organizations.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Weighted groups,Yes,Weighted groups is out of the box feature in Ultimus,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Sequential groups,Yes,Sequential group is out of the box feature in Ultimus,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Groups based on user availability,Yes,Ultimus provides groups based on First available person or First available online person.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Allow hierarchical organizations and sub hierarchies,Yes,Ultimus OC allows to add organizations in a hierarchical way.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Assign hierarchy owner,Yes,Ultimus OC allows to define owners in hierarchy.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Control editing of group membership,Yes,Ultimus OC allows editing of group membership.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Allow multiple roles per user (with primary role assignment to manage relative routing),Yes,Ultimus OC allows to define multiple roles for single user. One Role must be Primary.,
BPM Platform-Developing Automated Processes – Process Flow & Execution,Supports automatic process decision by applying easy and ad hoc changeable rules managed by business users.,Yes,Ultimus supports automatic process decision based on rules by business users.,
BPM Platform-Analysing Reports to enable Transparency and Optimization,Integrated web-based reporting,Yes,Ultimus provides out of the box webservice integration & allows to generate reports.,
BPM Platform-Analysing Reports to enable Transparency and Optimization,"Reporting data warehouse for process data, solution data and optionally 3rd data",Yes,"Ultimus can provide combined data of process, solution & optionally 3rd party data",
BPM Platform-Analysing Reports to enable Transparency and Optimization,Tabular and graphical reports,Yes,Ultimus 360 view provides tabular and dashboards,
BPM Platform-Analysing Reports to enable Transparency and Optimization,Incident Monitor,Yes,Incident monitoring is possible by admin user as well as by business user.,
BPM Platform-Analysing Reports to enable Transparency and Optimization,Control access to report viewing,Yes,Report access can be controled based on Roles,
BPM Platform-Analysing Reports to enable Transparency and Optimization,Export data for further analysis,Yes,Reports data is possible to export for further analysis. It is also possible to export data to any custom database.,
BPM Platform-Analysing Reports to enable Transparency and Optimization,Include external data in reports,Yes,It is possible to include external data in reports.,
Database,Does the application support latest Version of Databases?    o Oracle 12C    o  MSSQL Server 2017   o  MySQL 5.7.17  ,Yes,Ultimus supports Microsoft & Oracle databases. Oracle 12C & MSSQL Server 2017 is supported.,
Database,Is Database virtualization supported?    o Vmware    o Others     ,Yes,Ultimus is based on standard database technologies. So the database itself is transparent for Ultimus.,
Database,Does the application support database High availability clusters?   o RAC   o Redhat  ,No,"Yes, RAC is not supported out-of-the-box but RAC support can be provided as part of the project.",
Database,Are there any custom DBMS jobs to be integrated?  ,Yes,No custom DBMS jobs are not required to be integrated.,
Database,Is there any performance impact on application if database Audit is enabled?,Yes,"Ultimus stores detailed audit logs. As database Audit can have impact on database performance, In case if audit log at database level is required to be enabled it is recommended to enable it in non working hours & for debugging purpose only, unless the overall performance of the database server can handle this load.",
Database,"Does the application support data, password encryption and decryption ?",Yes,Application supports encryption.,
Database,Does application support partitioning of tables?,Yes,"Yes, it is possible but it requires database expertiese to handle this properly.",
Database,Is the communication to database from application encrypted?,Yes,Ultimus uses database drivers & if the communication between the driver & database is configured to be encrypted then this is possible.,
Database,Do any stored procedures require modifications during implementations?,Yes,Ultimus product databases do not need any modification while implementation.,
Database,Can the archived information reside in a separate database and yet be available online? ,Yes,It is possible to configure archiving to keep data in seperate database & can be available online with reporting interface.,
Database,Is there a mechanism for implementing archival / purging in the proposed solution?,Yes,It is possible to configure archiving to keep data in seperate database & can be available online with reporting interface.,
Database,Is there a roadmap for the upgrade of database?,Yes,"Yes, Ultimus can provide roadmap for database upgrade.",
Database,Does your database support holding 7 or more year's data at current transaction volumes? ,Yes,Ultimus recommend to hold history data in archiving database.,
Database,Does your database support Query written in standard ANSI SQL?,Yes,Ultimus supports queries supported by SQL server & Oracle.,
Database,Do you have any built-in data warehouse facility in the proposed solution? Does it require any third party tool?,No,Ultimus Reporting and Archiving solution which is ETL based does maintain a SQL database based Ultimus data warehouse which can be the base for 3rd party solutions. The need for such 3rd party solutions are driven by business needs.,
Database,What DB server operating system does the application support?   o Redhat    o  Microsoft   ,Yes,Ultimus supports both Redhat & Microsoft operating systems as DB server OS.,
Database,Does the system have single DB/schema for all modules?,Yes,"Yes, it is possible to use single or different schema.",
Database,What are the various encryption methodologies that are supported by the system?,Yes,AES-256 CBC (Rijndael implementation),
Database,Does application have any tool for database tuning?,No,Ultimus can provide customized solution for database tuning.,
Database,Is there any default backup mechanism? ,No,Ultimus recommend database backup policy to be defined at DBA level.,
Database,Is database password change policy complicated?,Yes,Ultimus allows to update changed password with interfaces.,
Database,Is database creation part of application installation?,Yes,"Yes, databases need to be provided upfront as pre-requisite for the installation. The database structure is automatically generated as part of installation. ",
Database,"Does the application require regular database maintenance, archival & tuning? o Weekly    o  Monthly   o  Quarterly",Yes,"No, but it is recommended to apply policy for database maintenance which includes backups & integrity of database. DBA should define the policy.",
Database,is there any roadmap for Database security patching ,Yes,Ultimus is based on standard database technologies. So the database itself is transparent for Ultimus. Database security patching is responsibility of DBA.,
Infrastructure,Is the application platform independent? Can it work on a variety of hardware platforms (e.g.: HP/IBM/Sun)?,Yes,"Yes, Application is platform independent in term of hardware as long as supported operating system is installed.",
Infrastructure,"Does the system support various operating system platforms (e.g.:  Linux, Windows, HP-Unix, Solaris, AIX)",Yes,Ultimus supports Microsoft operating systems for the server components. For Client machines supported internet browser should be present regardless of operating system.,
Infrastructure,"Does the system have all the features implemented in all the platforms for e.g., Linux , Windows etc.,",Yes,Ultimus supports Microsoft operating systems for the server components. For Client machines supported internet browser should be present regardless of operating system.,
Infrastructure,Does the solution support clustering? Does all the modules of the application support clustering,Yes,Clustering is supported in all the modules. In some modules some additional configuration is required.,
Infrastructure,Does application seamlessly integrate with all proposed modules/third party applications?,Yes,"Yes, Ultimus solutions can be integrated with third party applications",
Infrastructure,Does the application have a modular architecture? Can the modules work independently ,Yes,"Yes, the application has modular architecture & each module can work independently.",
Infrastructure,"Is the application database independent and support following DBs: Oracle, MySQL, MS SQL etc.,",Yes,Ultimus supports MS SQL & Oracle.,
Infrastructure,"Does the system support virtual server environment (eg:VMWARE, Microsoft Hypervisor, RedHat Virtualization, Oracle Virtualization etc.,)",Yes,"Yes, Ultimus supports virtual environments. Tested environments are VMWare, Microsoft Hypervisor and XEN.",
Infrastructure,"Does the application require any specific devices like printers, Scanners, USB devices, etc., if yes list them",Yes,"No, Ultimus does not required any specific device unless it is a requirement of business solutions.",
Infrastructure,"Please provide details on scalability based on the product(s) architecture (max. no. of users, etc.)?",Yes,"Ultimus does not define a maximum number of users as this depends on various factors like chosen architecture, given hardware, complexity of the solutions, general load on the system, number of transactions, etc. In general Ultimus supports small to large implementations and Ultimus has customers with 20.000 and more users. Such architecture consists of different clusters of backend servers in NLB and different frontend server in NLB.",
Infrastructure,Is scalability dependent on product software and/or hardware?  To what extent can hardware be added to improve performance without impacting functionality?,Yes,"The scalability is dependent on hardware & servers architecture. Ultimus supports different levels of scalability, e.g. per server with different number of worker threads (which depends on number of server cores), running servers in NLB, and running indepentend clusters of servers in NLB.",
Infrastructure,Does the application support load balancing features,Yes,"Yes, Ultimus supports Load balancing feature",
Infrastructure,Application and all its components should have the capability of hosting at the production as well replication at the designated Disaster Recovery (DR) site,Yes,This is supported but it requires IT team/DBA level configurations.,
Infrastructure,Does the system have capability to partially or fully fail over application at the DR site?,Yes,This is supported but it requires IT team/DBA level configurations.,
Infrastructure,Does the system have the capability to fail over at DR site within reasonable time frames ?,Yes,This is supported but it requires IT team/DBA level configurations.,
Infrastructure,Can the UAT environment be downsized if required?,Yes,Yes it is supported.,
Infrastructure,Does the application support host based replication to DR site?,Yes,Ultimus does not have experience with host based replication. But Ultimus is based on standard Microsoft and database technologies and keeps all relevant data within the database which makes replication possible. But side effects like consumption of resources and data consistency are critical parameters.,
Infrastructure,Does the system support Commvault backup and archival solutions?,No,"Ultimus is based on standard Microsoft and database technologies and does not interact with backup solutions directly. Because of that Ultimus does not need to directly support backup solutions.
Archival solutions can be integrated into the Ultimus solutions based on business requirements.",
Infrastructure,Do OS patches need to be tested before deployment on production server? ,Yes,"Yes, it is recommended to move any patch first in test environment before moving it in production.",
Infrastructure,Does the period OS patches have any affect on the application functionality?,Yes,"Generally no impact, but in some scenario it is possible so it is recommended to apply patches first in test environment. Ultimus provides list of patches which can impact application.",
Infrastructure,Do you provide list of approved OS patches periodically ?,Yes,"Ultimus provides list of patches which should not be installed, can have impact or need specific configurations. All other patches are considered as being supported.",
Infrastructure,Is performance issues  and  resolution of the same part of your maintenance contract ?,Yes,Any issue related to product including the performance due to product is part of maintenance contract.,
Infrastructure,What is the prescribed methodology for reverting to earlier versions of the software in the event of problems with newly installed software?,Yes,Ultimus provides rollback plan to revert back to previous version of application.,
Infrastructure,How do you maintain the source for all customizations that you perform for clients at your end?,Yes,The source of all custom parts is stored in Ultimus Professional Services code repository which is only accessible through valid access rights. Ultimus maintains all versions of the source.,
Infrastructure,Does the system support mobility and does it support Airwatch? ,Yes,Ultimus solutions are web based and mobile ready. Ultimus does not have experience with AirWatch but this can be checked as part of the project.,
Infrastructure,"Does your product require additional equipment such as scanners, printers, etc.? ",Yes,"No, it is not required unless it is the requirement of business solutions.",
Infrastructure,Do you provide module level restore of functionality from the backups?,Yes,"Yes, Ultimus provides module level restore on solutions.",
Infrastructure,Give details on how the application server resilience is built and supported,Yes,"Application server resilience is supported as combination of system architecture (e.g. fail over, independent data centers) and software architecture (e.g. transactional, automatic retries, etc.). Detailed expectations should be defined and implemented as part of the project.",
Infrastructure,"Give details on the different DR invoking scenarios(host based replication, Storage based replication methods)",Yes,Ultimus is based on standard Microsoft and database technologies. Ultimus can provide and cooperate on DR plans based on customer requirements.,
Infrastructure,does the application support 3-tier architecture? ,Yes,"Yes, application supports 3-tier architecture.",
Infrastructure,Can the application integreate with SAML and Single sing on based authentications? ,Yes,"Yes, Ultimus can be integrated with SSO.",
Infrastructure,"Give details of the protocols and ports used, communication standards used for data exchange & messaging formats",Yes,"- Port 80 is the default HTTP port (for Internal and End User Communication)
- Port 443 is used for HTTPS (for Internal and End User communication).
- Ports needed for UATS (internal communication between BPM Servers and Load Balancer): 
  * Ultimus V8 Data Provider Service uses Port 8524
  * Ultimus V8 Task Handler Service uses Port 8525
  * Ultimus DataLoader Service uses Port 8529, 8530 for 2 servers.
  * Ultimus TaskForwarder Service uses port 8526
  * Ultimus UDL JSON DataProvider Service uses port 8590
  * Ultimus UATS Administration Service uses port 8527
  * Ultimus WebClient NLB Helper Service uses port 8523
- CPS SolutionBus GovernanceService uses port 8080 (Internal Communication between BPM Server machines and Load Balancer)
- Port 587 for Secure SMTP.",
Security-Architectural Security,Does system support three tier architecture?,Yes,"Yes, System supports 3-tier architecture.",
Security-Architectural Security,"Is the information such as passwords, financial data etc. encrypted during storage and transit?",Yes,"Yes, Ultimus supports encryption of passwords & sensitive business data.",
Security-Architectural Security,Are the Application services  started by service account with no admin privileges ?,Yes,"No, Application services can be started with admin rights only.",
Security-Architectural Security,Does the Application use default database admin/password to access the application?,Yes,Ultimus supports default as well as dedicated credentials and also windows authentication.,
Security-Architectural Security,"Does the application need both the inbound and outbound network connection for update, heartbeat, etc.? If yes, please list the servers and ports which needs to be whitelisted on firewall.",Yes,"- Port 80 is the default HTTP port (for Internal and End User Communication)
- Port 443 is used for HTTPS (for Internal and End User communication).
- Ports needed for UATS (internal communication between BPM Servers and Load Balancer): 
  * Ultimus V8 Data Provider Service uses Port 8524
  * Ultimus V8 Task Handler Service uses Port 8525
  * Ultimus DataLoader Service uses Port 8529, 8530 for 2 servers.
  * Ultimus TaskForwarder Service uses port 8526
  * Ultimus UDL JSON DataProvider Service uses port 8590
  * Ultimus UATS Administration Service uses port 8527
  * Ultimus WebClient NLB Helper Service uses port 8523
- CPS SolutionBus GovernanceService uses port 8080 (Internal Communication between BPM Server machines and Load Balancer)
- Port 587 for Secure SMTP.",
Security-TRANSPORT LAYER SECURITY,Transfer of authentication credentials should be  secured with encryption technologies (E.g. SSL),Yes,It is supported.,
Security-TRANSPORT LAYER SECURITY,"Does All communications between the application server to database server are encrypted, traceable and can be associated with the user session ?",Yes,Ultimus use database drivers & if the communication between the driver & database is configured to be encrypted then this is possible.,
Security-ACCESS CONTROL,"Provide list of available authentication mechanism (for example, local authentication, Active Directory authentication, etc.)",Yes,"For application modules. Local authentication, Active Directory, LDAP, Custom Directory. For databases; db user/password, windows authentication.",
Security-ACCESS CONTROL,Does the system lock the userid if it is not used or inactive for specified period?,No,It is possible with custom solution.,
Security-ACCESS CONTROL,Does the application support role based access provisioning?,Yes,"Yes, Ultimus provides Role based access provisioning.",
Security-ACCESS CONTROL,Does the system have provision for assigning user access rights and permissions in detail?,Yes,"Yes, detailed access rights & permissions can be applied.",
Security-ACCESS CONTROL,Has the application gone through an independent third party Vulnerability Assessment and Penetration Testing?,Yes,"Yes, different applications and solutions, created with Ultimus platform have gone through Vulnerability Assessment and Penetration Testing. Please note that all parts of the combination of Ultimus platform, environmnet and implemented solution needs to be configured properly.",
Security-ACCESS CONTROL,What is the Frequency of patch / fix release?,Yes,"Ultimus provides immediate patch for serious production problems. And provides regular patches & recommend to install the patch if it is required. Frequency depends on criticality, e.g. quarterly.",
Security-AUDIT TRAIL,"Does the System provide full audit log of all actions, configuration changes, and parameter editing and user activities. The logs should be read only and can’t be modified or deleted even by the system or database administrators. ",Yes,"Yes, Ultimus provides detailed audit logs saved into database.",
Security-AUDIT TRAIL,Does System  have the capability to send audit trails to  SIEM solution?,No,"Yes, it is possible with some customization.",
Functional Architecture,Process Modeling,Yes,Ultimus provides Process Modelling out of the box which can be done through Ultimus Process Designer Tool.,
Functional Architecture,"Workflow Orchestration (H2H, H2S, S2S)",Yes,"Ultimus BPM out-of-the-box supports the orchestration of any H2H, H2S and S2S processes",
Functional Architecture,Decision Automation,Yes,"Ultimus provides a strong decision automation capability as part of Ultimus BPM Studio, Director and Decision Rules applications. The Routing Logic of workflow can be easily controled with decision Rules and decision controls can be composed through Ultimus CPS module.",
Functional Architecture,Continued intelligence,Yes,"Not out-of-the-box feature, but Ultimus provides seamless integration capabilities into external services and modules, so this can be integrated using these integration capabilities.",
Functional Architecture,Task Management and Collaboration,Yes,Task management and collaboration is out of the box feature of Ultimus DPA Suite and Ultimus Advanced Tasks Services (UATS) / DPA Portal.,
Functional Architecture,Document Management,Yes,"Ultimus provides capability to users to attach documents with different extensions along with comments. These documents are stored into Ultimus database repository which can be furhter saved to any external system like SharePoint, Document Management System, Google Drive, OneDrive etc. or local drive. The document repository can be exposed through Ultimus CPS applications.",
Functional Architecture,Low Code Workflow automation,Yes,Ultimus is low code or no code product.,
Functional Architecture,Simulation,Yes,Simulation of processes is an out-of-the-box functionality of the Ultimus BPM Suite using BPM Studio and Process Designer.,
Functional Architecture,"""on the fly"" modification",Yes,"""on the fly"" modification is possible out of the box.",
Functional Architecture,Auth 2.0 (Access y Cloud Control) Integration,Yes,"Ultimus seamess integrates using OpenID to authenticate e.g. against Microsoft 365, Apple, Google, etc.",
Functional Architecture,Form Generator,Yes,Ultimus CPS Visual Composer allows to compose form graphically with drag & drop features.,
Functional Architecture,Digital and Autograph signing,Yes,Ultimus provides out of the box integration with Blockchain to digitally anchor the documents or information. Additionally autograph or other type of digitial signing can be provided as part of the project.,
Functional Architecture,BYOD Access,Yes,"End users can work with Ultimus DPA Portal using any modern browser, supporting HTML5 on any device (mobile, laptop, desktop). There is no device dependency with using Ultimus. So there is no need for BYOD Access to use Ultimus. In case a BYOD Access solution is needed, this can be implemented using Ultimus CPS.",
Functional Architecture,Process Integration,Yes,Ultimus BPM out-of-the-box supports all kinds of integrations on processes - by providing Ultimus APIs to expose all relevant methods to integrate and interact with Ultimus processes - and by providing Adapters to integrate against any 3rd system.,
Functional Architecture,Own content management,Yes,Ultimus DAP Suite out-of-the-box provides content management for the full process live cycle. For archiving external systems can be attached and configured.,
Functional Architecture,"OCR, ICR",Yes,"Ultimus has strong integration with external OCR APIs for the purpose of invoice recognizion or other type of documents. Additionally Ultimus has full capability of Artificial Intelligence / Machine Learning / Deep Learning which allows to build an OCR based on customer requirements like extracting information from specific document, ID card, Passport etc.",
Functional Architecture,BAM,Yes,"Ultimus provides BAM out-of-the-box within the Dashboard of the DPA Portal, within the process solutions and in reports. This can be configured base on customer needs.",
Functional Architecture,Business Rules Management,Yes,Ultimus Rule Manager allows to define simple and complex business Rules at routing level and Ultimus CPS allows to define business rules at form level.,
Functional Architecture,Collaboration,Yes,"Ultimus is a human-centric BPM platform (with full H2H, H2S and S2S support) supporting strong collaboration in all phases of the process livecycle - collaboration during process design and implementation phase, and strong collaboration during process execution, process management and process administration.",
Functional Architecture,AI,Yes,Ultimus has full capability of Artificial Intelligence / Machine Learning / Deep Learning which allows to integrate AI into business solutions or to check feasibility.,
Functional Architecture,RPA,Yes,"Ultimus does not provide build-in RPA capability, but Ultimus has strong seamless integration with external RPA solutions to integrate with RPA if needed as part of customer solutions, which Ultimus has done with different customers.",
Applications Architecture,Programming Language,Yes,"Major design and composing areas of Ultimus are drag-and-drop based, using composing and configuring. The (web) appplication and process form definition is done using CPS Visual Composer - and internally Ultimus low code language U# is used. JavaScript can be used here as well.",
Applications Architecture,Low Code,Yes,Ultimus is low code or no code product.,
Applications Architecture,Flexible Architecture,Yes,"Ultimus is flexible both in system architecture, solution implementation and solution management. 
- Ultimus system architecture is highly scalable supporting small all-in-one servers up to multi-clustered multi-server NLB architecture. 
- Solution implementation is flexible in process definition, solution and form composing, and
- and on solution management with flexible, role-based management and administration modules.",
Applications Architecture,Extend Functionality through coding,Yes,"Ultimus supports various areas to extend functionality if needed in projects / for customers - e.g. on
- process level with custom Flobots (custom automated activities), and code within business rules
- application and form level with custom controls, and JavaScripts and JS Libraries",
Applications Architecture,Personalization Capacity of the tool,Yes,"Ultimus allows to personalize the DPA Portal UI, the user dashboards, and business reports.",
Information Architecture,On line Reporting,Yes,Ultimus provides web-based reporting capabilitiy with rich and nice graphs/dashboards.,
Information Architecture,Use of external BI,Yes,Ultimus ETL tool allows to expose business data into reporting database which can be further used with external BI tools.,
Information Architecture,Possibility to extend the data model,Yes,There is no limit to extend the data model. Depending on business requirement data model can be extended any time.,
Information Architecture,Report personalization,Yes,Ultimus allows to personalize business reports and user dashboards based on business requirements.,
Information Architecture,FileNet Integration,Yes,FileNet integration is fully possible and Ultimus has done this integration with different customers.,
Information Architecture,Report Scheduling,Yes,"Ultimus provides ad-hoc, automated and scheduled creation of reports.",
Information Architecture,Interactive Report,Yes,Ultimus provides web-based reporting capabilitiy with rich and nice graphs/dashboards - these reports provide interactive search and filter capabilities and can be extened and personalized to customer needs.,
